DATE,UNRATE,GDP in Billion $,Number of Permits,Population in Thousands,Recession,House Tax Unit $ ,Total Contruction Cost in Million $,LIFE EXPECTANCY in YEARS,MORTGAGE in Percent,CPI,Inflation in Percent,House Price Index
1/1/2003,5.991666667,11456.4495,1888.416667,290626.25,0,611,74291.5,77.03658537,5.826981132,184.8,2.270094973,133.7313333
1/1/2004,5.541666667,12217.19575,2057.583333,293262.3333,0,595,82613.08333,77.48780488,5.839230769,189.5416667,2.677236693,150.44025
1/1/2005,5.083333333,13039.197,2160.083333,295992.9167,0,667,93067.58333,77.48780488,5.866730769,195.7166667,3.392746845,171.737
1/1/2006,4.608333333,13815.583,1843.666667,298817.6667,0,649,96773.5,77.68780488,6.413269231,203.1583333,3.225944101,183.4475
1/1/2007,4.616666667,14474.227,1391.5,301696.1667,0,582,95662.75,77.98780488,6.337307692,209.5825833,2.852672482,179.9189167
1/1/2008,5.8,14769.8615,895.8333333,304543.0833,1,674,89779.25,78.03902439,6.027169811,216.2550833,3.839100297,164.0574167
1/1/2009,9.283333333,14478.06675,582,307240.0833,1,657,75980.58333,78.3902439,5.036538462,217.0578333,-0.355546266,148.5450833
1/1/2010,9.608333333,15048.97,603.6666667,309838.8333,0,606,67747.08333,78.54146341,4.689807692,216.2535,1.640043442,144.6745
1/1/2011,8.933333333,15599.73175,624,312295.25,0,638,65936.5,78.64146341,4.447884615,219.10425,3.156841569,139.2595
1/1/2012,8.075,16253.97,828.5,314725.4167,0,691,71200.25,78.74146341,3.6575,222.7138333,2.069337265,140.9938333
1/1/2013,7.358333333,16843.19575,988,317099,0,2122,76215.33333,78.74146341,3.975576923,227.34975,1.464832656,154.5208333
1/1/2014,6.158333333,17550.68775,1052.083333,319600.4167,0,2328,84607.66667,78.84146341,4.168867925,233.21475,1.622222977,164.69825
1/1/2015,5.275,18206.0235,1177.416667,322112.6667,0,2580,94343.08333,78.6902439,3.850576923,238.0604167,0.118627136,172.18175
1/1/2016,4.875,18695.10575,1205.666667,324609.3333,0,2631,101095.5,78.53902439,3.654038462,243.9750833,1.261583206,180.92575
1/1/2017,4.358333333,19477.3365,1286.416667,326859.6667,0,2589,106653.4167,78.53902439,3.989807692,251.2311667,2.130110004,191.39875
1/1/2018,3.891666667,20533.0575,1328.083333,328794.5,0,2925,111098.6667,78.63902439,4.544615385,258.4764167,2.442583297,202.4793333
1/1/2019,3.683333333,21380.976,1389.25,330512.5833,0,3146,115919.8333,78.78780488,3.935769231,265.9454167,1.812210075,209.4676667
1/1/2020,8.091666667,21060.47425,1479,331787.4167,1,3017,124964.1667,76.9804878,3.111698113,271.77725,1.233584396,222.1485833
1/1/2021,5.366666667,23315.08125,1739.666667,332351.1667,0,3138,137781.5,76.32926829,2.957692308,280.7206667,4.697858864,260.053
1/1/2022,3.641666667,25462.72225,1666.166667,333595.0833,0,3423,154056.3333,,5.344038462,300.8020833,8.002799821,298.4941667
